RUN	com.eurobits.gatling.agregador.simulations.AggRestSimulation	aggrestsimulation	1597139289530	 	3.0.3
REQUEST	135		requestAggregation	1597139293952	1597139294145	OK	 
USER	AggRestSimulation	147	START	1597139294150	1597139294150
REQUEST	145		login	1597139294116	1597139294150	OK	 
USER	AggRestSimulation	148	START	1597139294171	1597139294171
REQUEST	146		login	1597139294131	1597139294170	OK	 
REQUEST	136		requestAggregation	1597139293975	1597139294172	OK	 
REQUEST	134		requestAggregation	1597139293930	1597139294172	OK	 
REQUEST	147		login	1597139294151	1597139294184	OK	 
USER	AggRestSimulation	149	START	1597139294192	1597139294192
REQUEST	148		login	1597139294172	1597139294211	OK	 
USER	AggRestSimulation	150	START	1597139294212	1597139294212
REQUEST	137		requestAggregation	1597139293990	1597139294220	OK	 
REQUEST	140		requestAggregation	1597139294050	1597139294224	OK	 
REQUEST	149		login	1597139294193	1597139294228	OK	 
REQUEST	139		requestAggregation	1597139294031	1597139294226	OK	 
USER	AggRestSimulation	151	START	1597139294233	1597139294233
REQUEST	150		login	1597139294213	1597139294250	OK	 
REQUEST	142		requestAggregation	1597139294095	1597139294253	OK	 
USER	AggRestSimulation	152	START	1597139294254	1597139294254
REQUEST	151		login	1597139294234	1597139294268	OK	 
USER	AggRestSimulation	153	START	1597139294274	1597139294274
REQUEST	152		login	1597139294255	1597139294289	OK	 
USER	AggRestSimulation	154	START	1597139294295	1597139294295
REQUEST	153		login	1597139294275	1597139294309	OK	 
USER	AggRestSimulation	155	START	1597139294310	1597139294310
REQUEST	144		requestAggregation	1597139294130	1597139294319	OK	 
REQUEST	138		requestAggregation	1597139294011	1597139294325	OK	 
REQUEST	141		requestAggregation	1597139294072	1597139294325	OK	 
REQUEST	154		login	1597139294296	1597139294329	OK	 
USER	AggRestSimulation	156	START	1597139294331	1597139294331
REQUEST	155		login	1597139294311	1597139294342	OK	 
USER	AggRestSimulation	157	START	1597139294351	1597139294351
REQUEST	147		requestAggregation	1597139294185	1597139294355	OK	 
REQUEST	145		requestAggregation	1597139294151	1597139294357	OK	 
REQUEST	156		login	1597139294331	1597139294365	OK	 
REQUEST	143		requestAggregation	1597139294109	1597139294371	OK	 
USER	AggRestSimulation	158	START	1597139294372	1597139294372
USER	AggRestSimulation	159	START	1597139294392	1597139294392
REQUEST	150		requestAggregation	1597139294250	1597139294399	OK	 
REQUEST	149		requestAggregation	1597139294233	1597139294401	OK	 
REQUEST	158		login	1597139294372	1597139294408	OK	 
USER	AggRestSimulation	160	START	1597139294413	1597139294413
REQUEST	148		requestAggregation	1597139294212	1597139294422	OK	 
REQUEST	159		login	1597139294393	1597139294428	OK	 
USER	AggRestSimulation	161	START	1597139294434	1597139294434
REQUEST	146		requestAggregation	1597139294172	1597139294432	OK	 
REQUEST	160		login	1597139294414	1597139294446	OK	 
